date,total_sleep_min,deep_sleep_min,hrv_ms,restfulness_score
2026-02-09,330,40,74,8
2026-02-10,381,80,61,8
2026-02-11,390,64,67,8
2026-02-12,341,65,61,8
2026-02-13,320,35,69,8
2026-02-14,428,30,68,8
2026-02-15,449,52,65,8
2026-02-16,363,40,55,8
2026-02-17,428,110,64,8
2026-02-18,450,90,60,8
2026-02-19,440,90,62,8
2026-02-20,410,40,65,8
2026-02-21,428,55,56,8
2026-02-22,367,95,52,8
2026-02-23,299,78,61,8
2026-02-24,441,88,64,8
2026-02-25,396,85,59,8
2026-02-26,370,40,74,8
2026-02-27,405,85,65,8
2026-02-28,403,70,69,8
2026-03-01,396,50,75,8
2026-03-02,357,110,63,8
2026-03-03,442,85,47,8
2026-03-04,418,117,72,8
2026-03-05,400,60,73,8
2026-03-06,355,20,72,8
2026-03-07,378,80,51,8
2026-03-08,373,66,66,8
2026-03-09,346,65,78,8
2026-03-10,426,30,66,8
2026-03-11,415,54,67,8
2026-03-12,426,95,63,8
2026-03-13,301,55,54,8
2026-03-14,393,100,68,8
2026-03-15,424,95,58,8
2026-03-16,384,70,73,8
2026-03-17,369,28,52,8
2026-03-18,366,80,62,8
2026-03-19,379,85,39,8
2026-03-20,475,120,57,8
2026-03-21,342,55,71,8
EOF
